Test ID,Timestamp,Environment,Keyword,Status,Pass Percentage (%),Matched/Total,Status Color,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_058,2025-11-06T03:40:18.554Z,prod-api,small freezers upright (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,610,200,,0.63
TST_059,2025-11-06T03:40:20.537Z,prod-api,small chest freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,848,200,,0.86
TST_060,2025-11-06T03:40:22.678Z,prod-api,small upright freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1033,200,,1.05
TST_061,2025-11-06T03:40:24.591Z,prod-api,compact upright freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,848,200,,0.86
TST_062,2025-11-06T03:40:26.271Z,prod-api,ice cream freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,632,200,,0.64
TST_063,2025-11-06T03:40:29.264Z,prod-api,small deep freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1890,200,,1.91
TST_064,2025-11-06T03:40:30.776Z,prod-api,small freezers chest (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,599,200,,0.61
TST_065,2025-11-06T03:40:32.605Z,prod-api,commercial freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,891,200,,0.9
TST_066,2025-11-06T03:40:34.503Z,prod-api,frigidaire freezers upright (Freezer Refrigerator),PASS,10000.00%,1/1,#C8E6C9,976,200,,0.99
TST_067,2025-11-06T03:40:36.422Z,prod-api,garage ready freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,773,200,,0.79
TST_068,2025-11-06T03:40:38.389Z,prod-api,up right freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,815,200,,0.83
TST_069,2025-11-06T03:40:40.979Z,prod-api,freezers at lowes (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1534,200,,1.55
TST_070,2025-11-06T03:40:42.742Z,prod-api,freezers chest (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,606,200,,0.62
TST_071,2025-11-06T03:40:44.603Z,prod-api,freezers upright (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,633,200,,0.66
TST_072,2025-11-06T03:40:46.747Z,prod-api,frigidaire freezers (Freezer Refrigerator),PASS,10000.00%,1/1,#C8E6C9,1222,200,,1.24
TST_073,2025-11-06T03:40:48.588Z,prod-api,frost free upright freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,657,200,,0.67
TST_074,2025-11-06T03:40:50.630Z,prod-api,garage freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,836,200,,0.85
TST_075,2025-11-06T03:40:52.751Z,prod-api,7 cu ft chest freezers (Freezer Refrigerator),PASS,10000.00%,1/1,#C8E6C9,934,200,,0.95
TST_076,2025-11-06T03:40:55.136Z,prod-api,compact freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1191,200,,1.21
TST_077,2025-11-06T03:40:56.720Z,prod-api,frigidaire upright freezers (Freezer Refrigerator),PASS,10000.00%,1/1,#C8E6C9,624,200,,0.64
TST_078,2025-11-06T03:40:59.055Z,prod-api,refrigerator freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1106,200,,1.12
TST_079,2025-11-06T03:41:01.189Z,prod-api,refrigerators freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,688,200,,0.7
TST_080,2025-11-06T03:41:03.319Z,prod-api,stand up freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,967,200,,0.98
TST_081,2025-11-06T03:41:05.764Z,prod-api,compact chest freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,966,200,,0.98
TST_082,2025-11-06T03:41:07.701Z,prod-api,freezers upright frost free (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,648,200,,0.66
TST_083,2025-11-06T03:41:10.649Z,prod-api,fridge freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1405,200,,1.42
TST_084,2025-11-06T03:41:12.994Z,prod-api,frost free freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,814,200,,0.83
TST_085,2025-11-06T03:41:15.366Z,prod-api,frost free freezers upright (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,924,200,,0.94
TST_086,2025-11-06T03:41:17.574Z,prod-api,garage ready upright freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,646,200,,0.66
TST_087,2025-11-06T03:41:19.629Z,prod-api,refrigerators without freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,608,200,,0.62
TST_088,2025-11-06T03:41:22.176Z,prod-api,small upright freezers frost free (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1120,200,,1.13
TST_089,2025-11-06T03:41:24.649Z,prod-api,small upright frost free freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,908,200,,0.91
TST_090,2025-11-06T03:41:26.997Z,prod-api,whirlpool freezers upright (Freezer Refrigerator),PASS,10000.00%,4/4,#C8E6C9,859,200,,0.88
TST_091,2025-11-06T03:41:29.426Z,prod-api,7 cubic ft chest freezers (Freezer Refrigerator),PASS,10000.00%,1/1,#C8E6C9,820,200,,0.84
TST_092,2025-11-06T03:41:31.846Z,prod-api,fridges & freezers (Freezer Refrigerator),PASS,10000.00%,4/4,#C8E6C9,812,200,,0.83
TST_093,2025-11-06T03:41:34.786Z,prod-api,mini fridges with freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1421,200,,1.43
TST_094,2025-11-06T03:41:37.199Z,prod-api,under counter freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,791,200,,0.81
TST_095,2025-11-06T03:41:39.321Z,prod-api,deep freezers near me (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,621,200,,0.64
TST_096,2025-11-06T03:41:42.248Z,prod-api,drawers for freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1233,200,,1.24
TST_097,2025-11-06T03:41:44.222Z,prod-api,freezers and fridges (Freezer Refrigerator),REVIEW,N/A,0/0,#FFE0B2,601,200,No results returned; requires manual review.,0.61
TST_098,2025-11-06T03:41:46.592Z,prod-api,garage freezers upright (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,668,200,,0.68
TST_099,2025-11-06T03:41:48.836Z,prod-api,ge freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,581,200,,0.59
TST_100,2025-11-06T03:41:51.214Z,prod-api,ge freezers upright (Freezer Refrigerator),PASS,10000.00%,6/6,#C8E6C9,757,200,,0.77
TST_101,2025-11-06T03:41:53.516Z,prod-api,ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,572,200,,0.58
TST_102,2025-11-06T03:41:55.915Z,prod-api,nugget ice maker (Ice Maker Refrigerator),PASS,10000.00%,8/8,#C8E6C9,764,200,,0.78
TST_103,2025-11-06T03:41:58.333Z,prod-api,frigidaire ice maker (Ice Maker Refrigerator),REVIEW,N/A,0/0,#FFE0B2,747,200,No results returned; requires manual review.,0.76
TST_104,2025-11-06T03:42:00.738Z,prod-api,countertop ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,618,200,,0.63
TST_105,2025-11-06T03:42:03.487Z,prod-api,ice maker machine (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,997,200,,1.01
TST_106,2025-11-06T03:42:05.721Z,prod-api,counter top ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,639,200,,0.65
TST_107,2025-11-06T03:42:07.961Z,prod-api,crushed ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,584,200,,0.6
TST_108,2025-11-06T03:42:10.971Z,prod-api,ge profile ice maker (Ice Maker Refrigerator),REVIEW,N/A,0/0,#FFE0B2,1555,200,No results returned; requires manual review.,1.57
TST_109,2025-11-06T03:42:13.794Z,prod-api,ice machine maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1010,200,,1.02
TST_110,2025-11-06T03:42:16.438Z,prod-api,ice maker countertop (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,932,200,,0.94
TST_111,2025-11-06T03:42:18.532Z,prod-api,pebble ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,589,200,,0.6
TST_112,2025-11-06T03:42:20.901Z,prod-api,commercial ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,653,200,,0.67
TST_113,2025-11-06T03:42:23.407Z,prod-api,undercounter ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,790,200,,0.8
TST_114,2025-11-06T03:42:25.601Z,prod-api,ge ice maker (Ice Maker Refrigerator),PASS,10000.00%,2/2,#C8E6C9,570,200,,0.58
TST_115,2025-11-06T03:42:27.776Z,prod-api,ice cube maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,562,200,,0.58
TST_116,2025-11-06T03:42:30.313Z,prod-api,under counter ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,822,200,,0.84
TST_117,2025-11-06T03:42:32.607Z,prod-api,ge opal ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,894,200,,0.91
TST_118,2025-11-06T03:42:35.221Z,prod-api,nugget ice maker countertop (Ice Maker Refrigerator),PASS,10000.00%,6/6,#C8E6C9,893,200,,0.91
TST_119,2025-11-06T03:42:37.630Z,prod-api,pellet ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,591,200,,0.6
TST_120,2025-11-06T03:42:40.040Z,prod-api,small ice maker (Ice Maker Refrigerator),PASS,10000.00%,2/2,#C8E6C9,953,200,,0.96
